Items Vigentes - Automoviles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datos Generales de la Póliza,,,,,,Asegurado,,,Detalle del Vehículo,,,,,,,,,,,,,,,Intermediarios,,,,Accesorios y Coberturas,
Cia,Poliza,IDPoliza,Estado Poliza,Vigencia Desde,Vigencia Hasta,Asegurado,Conductor Asignado,Nro Documento,Patente,Marca,Modelo,Año,0 KM,Motor,Chasis,CodReferencia,Procedencia,Combustible,Tipo Uso,Rastreo Satelital,Cobertura,Cobertura Det,Suma Asgurada,Productor,Agente,SubAgente,Ejecutivo,Accesorios,Cob. Adicionales
ROYAL SUNALLIANCE SEG. ARG. SA,3227712,30060161,VIGENTE,01/02/2014,, CINTIA MARISOL PIZZANO,,32978832,KEA221,VOLKSWAGEN,GOL 1.6  5 P TREND,2011,NO,CFZ835836,9BWAB05U4CT001655,46528,Nacional,Nafta,Particular,,DF21, DF21 - TODO RIESGO CON FRANQUICIA FIJA,"78,000",HerrerosAriel,,,,,
PARANA SEGUROS,2857926,33518769,VIGENTE,20/09/2014,20/01/2115,MARISA MABEL PLANO,,16250292,EZB885,BMW,120D ACTIVE 5 P. ,2006,NO,RPA401353,WBAUG51045JU07973,0,IMPORTADO,D,Particular,NO,A, Responsabilidad Civil hacia Terceros,0,OrtigozaBeatriz,,,,,
ROYAL SUNALLIANCE SEG. ARG. SA,420257,33639063,EN EMISION,17/06/2015,17/06/2016,FERNANDO CHIAPPE,,36327964,BKQ843,FIAT,DUNA SX 1.6,1997,NO,159 A3 0388363177,*8AP155000*V8404028*,17182,Nacional,Nafta,Particular,,,,"24,500",HBO Broker,,,,,
SANCOR COOPERATIVA DE SEG LTDA,5659702,33707743,VIGENTE,07/11/2014,07/11/2016,MARIO JOSE DIAZ VELEZ,,20321501,INY453,VW,SURAN HIGLINE 1.9 SDI,2010,NO,,,0,,,Particular,NO,7, PREMIUM MAX,"105,600",OrtigozaBeatriz,OrtigozaBeatriz,,,, PREMIUM MAX: $0.00 Tasa: 0.000
PARANA SEGUROS,2993803,33957418,VIGENTE,01/12/2014,01/12/2015,DORA NOEMI CHIRINO,,12877078,MGU790,CHEVROLET,CLASSIC 1.4 4 P LT SPIRIT,2013,NO,T85148718,8AGSE1950DR180214,12400,Nacional,Nafta,Particular,NO,C, Terceros Completo,"87,000",RioLuis,,,,,
PARANA SEGUROS,2983842,33980441,VIGENTE,25/11/2014,25/11/2015,MARIELA TOMBESSI,,20903186,GOP446 ,PEUGEOT  ,307 5 p. XS L/N 1.6,2007,NO,10DBUD0003723,8AD3CN6BL8G035040,0,,,Particular,NO,C, Terceros Completo,"87,000",OrtigozaBeatriz,,,,,
FEDERACION PATRONAL S.A.,19898486,34066896,VIGENTE,27/11/2014,30/11/2015,CARLOS ZAMBRANA,,8527985,CEK890,SUZUKI, BALENO GLX 1.6 ABS AB,1998,NO,G16B-230788,JS2GA3151W5140721,,,,Particular,NO,B1, Perd.Total Inc. Robo Hurto,"39,000",OrtigozaBeatriz,,,,,
PARANA SEGUROS,4002526,34073866,VIGENTE,05/12/2014,05/12/2015,MARIO ARIEL RIBAUDO,,25665017,DQP751,TRAILER,AFF ,2002,NO,,,0,,,Particular,NO,A, Responsabilidad Civil hacia Terceros,0,OrtigozaBeatriz,,,,,
PARANA SEGUROS,2997083,34094369,VIGENTE,13/12/2014,13/12/2015,CARLOS GARAVAGLIA,,10995656,TVI351,MERCEDES BENZ,230 TE,1981,NO,102980-10-031522,,0,,,Particular,NO,A, Responsabilidad Civil hacia Terceros,0,OrtigozaBeatriz,,,,,
PARANA SEGUROS,2997073,34095889,VIGENTE,07/12/2014,07/12/2015, LIL GRACIELA PALACIO,,13549555,IZB054,REANULT,LOGAN  1.6 8B PACK,2010,NO,10DXBE0003896,93YLSR4BBBJ495682,0,,,Particular,NO,C, Terceros Completo,"72,000",OrtigozaBeatriz,,,,,
PARANA SEGUROS,4008218,34118507,VIGENTE,15/12/2014,15/12/2015,LUCAS SEBASTIAN REQUEIRA ,,2222222,EAH761,TRAILER, ,2004,NO,,,0,,,Particular,NO,A, Responsabilidad Civil hacia Terceros,0,OrtigozaBeatriz,OrtigozaBeatriz,,,,
PARANA SEGUROS,3009059,34121133,VIGENTE,17/01/2015,17/01/2016,GUILLERMINA GARCIA RANAUDO,,27195459,GDX163,SUZUKI ,FUN 1.4 3P.  ,2007,NO,P90003367,9BGRS08J07G234041,0,NACIONAL,,Particular,NO,C, Terceros Completo,"62,000",OrtigozaBeatriz,,,,,
PARANA SEGUROS,3009063,34121134,VIGENTE,20/01/2015,20/01/2016,NESTOR CESAR OLIVIERI,,20003677,TXD819,FIAT ,147 SPAZIO TRD ,1988,NO,50002684059,BB007149579,0,NACIONAL,,Particular,NO,B1, Perd.Total Inc. Robo Hurto,"20,600",OrtigozaBeatriz,,,,,
PARANA SEGUROS,4010313,34121135,VIGENTE,25/01/2015,25/01/2016,OSCAR O.-MORO R GIQUEAUX,,5886657,A/D,TRAILER AFF, ,1990,NO,,101SLT481,0,NACIONAL,,Particular,NO,A, Responsabilidad Civil hacia Terceros,0,OrtigozaBeatriz,,,,,
PARANA SEGUROS,4024017,34166887,VIGENTE,05/01/2015,05/01/2016,ESTEBAN ANDRES MERCADO,,29085891,FGR253,VOLKSWAGEN,BORA 2.0 TRENDLINE,2006,NO,BER003005,93YCDDUH6CJ969482,46299,Nacional,Nafta,Particular,NO,A, Responsabilidad Civil hacia Terceros,"90,000",HerrerosAriel,,,,,
